transaction_id,amount,transaction_type,merchant_category,is_fraud
75,48655,mpesa_buygoods,peer_to_peer,0
76,17259,mpesa_send,peer_to_peer,0
77,110610,mpesa_send,retail,1
78,106630,mpesa_paybill,peer_to_peer,0
79,80177,mpesa_paybill,food,0
80,36020,mpesa_send,transport,1
81,223239,mpesa_buygoods,retail,0
82,198293,mpesa_send,peer_to_peer,1
83,200651,mpesa_send,food,1
84,220647,mpesa_buygoods,food,0
85,19557,mpesa_paybill,peer_to_peer,0
86,197729,mpesa_buygoods,transport,0
87,208361,mpesa_send,peer_to_peer,1
88,240281,mpesa_paybill,retail,1
89,79053,mpesa_paybill,peer_to_peer,0
90,53095,mpesa_buygoods,food,0
91,171929,mpesa_send,peer_to_peer,1
92,9792,mpesa_send,transport,0
93,176930,mpesa_send,utilities,1
94,203581,mpesa_send,peer_to_peer,1
95,202383,mpesa_send,transport,1
96,196869,mpesa_send,transport,1
97,37165,mpesa_send,food,0
98,223265,mpesa_buygoods,transport,1
99,99399,mpesa_buygoods,transport,0
100,163778,mpesa_send,transport,1
101,11634,mpesa_send,transport,1
102,225835,mpesa_paybill,retail,0
103,40497,mpesa_send,retail,0
104,91487,mpesa_send,food,1
105,1116,mpesa_send,peer_to_peer,1
106,220961,mpesa_send,transport,1
107,55691,mpesa_buygoods,peer_to_peer,1
108,220984,mpesa_send,peer_to_peer,1
109,23347,mpesa_paybill,food,0
110,24400,mpesa_paybill,transport,0
111,205237,mpesa_send,transport,1
112,82898,mpesa_send,utilities,1
113,9368,mpesa_send,peer_to_peer,1
114,86907,mpesa_paybill,peer_to_peer,0
115,12285,mpesa_send,retail,1
116,194876,mpesa_send,utilities,1
117,217951,mpesa_paybill,retail,1
118,170271,mpesa_send,retail,1
119,139743,mpesa_send,retail,1
120,236684,mpesa_send,food,1
121,38144,mpesa_send,food,1
122,51314,mpesa_buygoods,retail,0
123,192400,mpesa_send,utilities,1
124,114852,mpesa_paybill,peer_to_peer,1
125,49084,mpesa_send,utilities,1
126,40874,mpesa_paybill,transport,0
127,2668,mpesa_send,food,0
128,120251,mpesa_send,peer_to_peer,1
129,193764,mpesa_buygoods,peer_to_peer,0
130,198735,mpesa_buygoods,transport,0
131,133867,mpesa_buygoods,transport,0
132,124475,mpesa_send,retail,1
133,179362,mpesa_send,food,0
134,136430,mpesa_send,food,1
135,218710,mpesa_paybill,utilities,0
136,39604,mpesa_send,retail,1
137,164331,mpesa_buygoods,retail,1
138,14086,mpesa_send,retail,1
139,61958,mpesa_buygoods,retail,0
140,129412,mpesa_send,food,1
141,12766,mpesa_buygoods,food,0
142,38760,mpesa_send,retail,1
143,134733,mpesa_send,utilities,1
144,26954,mpesa_paybill,peer_to_peer,0
145,64605,mpesa_send,peer_to_peer,1
146,104588,mpesa_send,utilities,1
147,183423,mpesa_buygoods,retail,0
148,22762,mpesa_paybill,food,0
149,8492,mpesa_send,peer_to_peer,1
150,30635,mpesa_send,transport,1
151,209775,mpesa_send,transport,1
152,113669,mpesa_paybill,utilities,0
153,52356,mpesa_send,retail,1
154,89235,mpesa_send,peer_to_peer,0
155,127578,mpesa_send,retail,1
156,35322,mpesa_send,peer_to_peer,1
157,77473,mpesa_paybill,utilities,0
158,210747,mpesa_send,utilities,1
159,123784,mpesa_buygoods,transport,0
160,227526,mpesa_send,retail,1
161,215823,mpesa_send,transport,1
162,194507,mpesa_send,retail,1
163,11065,mpesa_send,transport,0
164,24638,mpesa_buygoods,food,0
165,108166,mpesa_paybill,food,0
166,201764,mpesa_paybill,food,0
167,229190,mpesa_paybill,food,0
168,113352,mpesa_send,peer_to_peer,1
169,139282,mpesa_paybill,food,0
170,210481,mpesa_send,utilities,1
171,158438,mpesa_paybill,utilities,0
172,184164,mpesa_send,peer_to_peer,1
173,214120,mpesa_send,food,1
174,98906,mpesa_send,food,1
175,138082,mpesa_send,food,0
176,111089,mpesa_send,transport,0
177,91082,mpesa_send,retail,0
178,121726,mpesa_buygoods,transport,0
179,119276,mpesa_send,retail,1
180,131378,mpesa_send,food,1
181,218226,mpesa_paybill,food,1
182,219069,mpesa_buygoods,transport,1
183,122509,mpesa_send,transport,1
184,23519,mpesa_send,retail,0
185,181808,mpesa_paybill,utilities,1
186,245410,mpesa_send,retail,1
187,50115,mpesa_buygoods,transport,0
188,248650,mpesa_buygoods,transport,0
189,122196,mpesa_send,peer_to_peer,1
190,107159,mpesa_send,transport,0
191,185440,mpesa_buygoods,peer_to_peer,0
192,110787,mpesa_paybill,utilities,0
193,88039,mpesa_paybill,retail,0
194,149313,mpesa_paybill,retail,0
195,211528,mpesa_paybill,peer_to_peer,0
196,105978,mpesa_buygoods,retail,1
197,203082,mpesa_buygoods,transport,1
198,187216,mpesa_buygoods,food,1
199,198386,mpesa_paybill,peer_to_peer,1
200,249102,mpesa_buygoods,retail,0
201,164999,mpesa_paybill,peer_to_peer,0
202,186992,mpesa_paybill,peer_to_peer,0
203,62723,mpesa_send,food,1
204,212906,mpesa_buygoods,transport,0
205,75550,mpesa_buygoods,peer_to_peer,0
206,93526,mpesa_paybill,retail,0
207,117945,mpesa_buygoods,utilities,0
208,153471,mpesa_paybill,peer_to_peer,0
209,43685,mpesa_send,peer_to_peer,1
210,109325,mpesa_send,food,0
211,64144,mpesa_send,transport,1
212,173729,mpesa_send,utilities,1
213,180252,mpesa_send,retail,1
214,109656,mpesa_paybill,utilities,0
215,2793,mpesa_send,retail,0
216,226175,mpesa_paybill,transport,1
217,95359,mpesa_send,retail,0
218,243407,mpesa_paybill,food,1
219,200335,mpesa_send,food,0
220,26039,mpesa_send,food,0
221,180097,mpesa_send,food,1
222,174113,mpesa_paybill,utilities,0
223,153006,mpesa_send,transport,0
224,18147,mpesa_buygoods,retail,0
225,26205,mpesa_send,retail,1
226,75866,mpesa_send,food,1
227,146879,mpesa_buygoods,food,0
228,153148,mpesa_paybill,peer_to_peer,0
229,44362,mpesa_send,transport,0
230,125217,mpesa_paybill,utilities,0
231,23876,mpesa_paybill,retail,0
232,161252,mpesa_paybill,peer_to_peer,0
233,128476,mpesa_send,peer_to_peer,1
234,198014,mpesa_send,retail,1
235,192545,mpesa_paybill,utilities,0
236,137948,mpesa_buygoods,peer_to_peer,0
237,92887,mpesa_paybill,peer_to_peer,0
238,128048,mpesa_send,transport,0
239,55116,mpesa_paybill,utilities,0
240,140646,mpesa_paybill,peer_to_peer,0
241,237002,mpesa_send,utilities,1
242,189225,mpesa_send,retail,1
243,22059,mpesa_paybill,food,0
244,136702,mpesa_send,peer_to_peer,1
245,226028,mpesa_send,transport,1
246,119201,mpesa_send,retail,1
247,3848,mpesa_send,utilities,1
248,228676,mpesa_send,retail,1
249,229270,mpesa_buygoods,peer_to_peer,1
250,13645,mpesa_buygoods,utilities,0
251,127759,mpesa_send,food,1
252,197371,mpesa_buygoods,retail,0
253,165938,mpesa_paybill,peer_to_peer,0
254,73630,mpesa_send,transport,1
255,93657,mpesa_send,utilities,0
256,61187,mpesa_send,retail,1
257,227011,mpesa_send,retail,1
258,247355,mpesa_paybill,food,1
259,68940,mpesa_paybill,food,0
260,118551,mpesa_send,transport,0
261,185556,mpesa_buygoods,transport,1
262,51105,mpesa_paybill,peer_to_peer,1
263,177748,mpesa_send,peer_to_peer,1
264,39453,mpesa_buygoods,transport,1
265,193175,mpesa_buygoods,transport,0
266,214383,mpesa_buygoods,utilities,0
267,52833,mpesa_send,food,0
268,65418,mpesa_paybill,peer_to_peer,0
269,241125,mpesa_paybill,food,0
270,220646,mpesa_paybill,food,0
271,154836,mpesa_buygoods,transport,0
272,67272,mpesa_paybill,utilities,0
273,216788,mpesa_buygoods,retail,1
274,93364,mpesa_buygoods,utilities,0
275,246558,mpesa_buygoods,utilities,1
276,26836,mpesa_send,food,1
277,225381,mpesa_send,utilities,1
278,234213,mpesa_send,peer_to_peer,1
279,112959,mpesa_buygoods,food,0
280,112281,mpesa_send,peer_to_peer,0
281,132026,mpesa_paybill,retail,1
282,90184,mpesa_send,food,1
283,169795,mpesa_paybill,retail,0
284,7492,mpesa_buygoods,food,0
285,55780,mpesa_buygoods,transport,0
286,177889,mpesa_send,utilities,1
287,218264,mpesa_buygoods,transport,0
288,50959,mpesa_paybill,retail,0
289,125757,mpesa_send,utilities,1
290,235267,mpesa_paybill,food,1
291,157481,mpesa_send,utilities,1
292,218627,mpesa_send,peer_to_peer,1
293,194906,mpesa_paybill,utilities,0
294,70567,mpesa_send,peer_to_peer,1
295,183834,mpesa_send,utilities,1
296,98606,mpesa_send,peer_to_peer,1
297,109851,mpesa_send,retail,0
298,119006,mpesa_send,transport,0
299,143860,mpesa_paybill,food,0
300,25442,mpesa_paybill,utilities,0
